Paper_ID,DOI,Journal,Year,Polymer_type,Polymer_MW_kDa,Solvent_system,Solvent_ratio,Fiber_diameter_nm_std,Solvent_density_gmL,c_star_wt_pct,Polymer_conc_wt,intrinsic_viscosity_dLg,c_over_cstar,Solvent_ST_mNm,Solvent_BP_C,Air_pressure_bar_std,Feed_rate_mLh_std,Working_distance_cm,log_diameter
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,334.0,1.069,0.23167218552041917,12.0,4.03783342804286,51.79732721493381,28.5,90.0,4.1369,1.2,10.0,5.811140992976701
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,1003.0,0.784,3.2749173603026286,10.0,0.3894785925113436,3.053512165288934,23.46,56.1,2.0,3.0,7.0,6.910750787961936
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,249.0,0.784,3.2749173603026286,10.0,0.3894785925113436,3.053512165288934,23.46,56.1,1.0,3.0,7.0,5.517452896464707
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,384.0,0.784,3.2749173603026286,10.0,0.3894785925113436,3.053512165288934,23.46,56.1,1.5,1.0,7.0,5.950642552587727
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,510.0,0.784,3.2749173603026286,10.0,0.3894785925113436,3.053512165288934,23.46,56.1,1.5,3.0,7.0,6.234410725718371
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,283.0,0.784,3.2749173603026286,10.0,0.3894785925113436,3.053512165288934,23.46,56.1,1.5,0.5,7.0,5.645446897643238
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,1190.0,0.784,3.2749173603026286,15.0,0.3894785925113436,4.580268247933401,23.46,56.1,1.0,3.0,7.0,7.081708586105575
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,1400.0,0.784,3.2749173603026286,15.0,0.3894785925113436,4.580268247933401,23.46,56.1,1.0,1.0,7.0,7.24422751560335
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,1190.0,0.784,3.2749173603026286,15.0,0.3894785925113436,4.580268247933401,23.46,56.1,1.0,0.1,7.0,7.081708586105575
Vasireddi2019,10.1038/s41598-019-50477-6,Scientific Reports,2019,THV,115,acetone,NR,290.0,0.784,3.2749173603026286,15.0,0.3894785925113436,4.580268247933401,23.46,56.1,2.0,0.1,7.0,5.66988092298052
